"Category","City","Country","Customer Name","Manufacturer","Order Date","Order ID","Postal Code","Product Name","Region","Segment","Ship Date","Ship Mode","State","Sub-Category","Discount","Number of Records","Profit","Profit Ratio","Quantity","Sales","Column22","Profit_Amount","Formatted_Order_Date","Sales_Amount","Profit_Amount:1","Formatted_Order_Date:1"
Furniture,Chesapeake,United States,Christine Kargatis,Global,"3/14/11",US-2011-125521,23320,Global Commerce Series High-Back Swivel/Tilt Chairs,South,Home Office,"3/19/11",Standard Class,Virginia,Chairs,"0%",1,US$285 ,"25%",4,"US$1,140 ","",285,"2011-14-03",1,285,"2011-14-03"
Office Supplies,Logan,United States,Jason Fortune-,GBC,"3/14/11",CA-2011-114510,84321,GBC Wire Binding Combs,West,Consumer,"3/19/11",Standard Class,Utah,Binders,"20%",1,US$11 ,"34%",4,US$33 ,"",11,"2011-14-03",33,11,"2011-14-03"
Office Supplies,Logan,United States,Jason Fortune-,Other,"3/14/11",CA-2011-114510,84321,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",West,Consumer,"3/19/11",Standard Class,Utah,Binders,"20%",1,US$20 ,"33%",2,US$62 ,"",20,"2011-14-03",62,20,"2011-14-03"
Office Supplies,Logan,United States,Jason Fortune-,Carina,"3/14/11",CA-2011-114510,84321,Carina Double Wide Media Storage Towers in Natural & Black,West,Consumer,"3/19/11",Standard Class,Utah,Storage,"0%",1,US$3 ,"4%",1,US$81 ,"",3,"2011-14-03",81,3,"2011-14-03"
Office Supplies,Logan,United States,Jason Fortune-,Other,"3/14/11",CA-2011-114510,84321,Staples,West,Consumer,"3/19/11",Standard Class,Utah,Storage,"0%",1,US$6 ,"27%",2,US$21 ,"",6,"2011-14-03",21,6,"2011-14-03"
Technology,Logan,United States,Jason Fortune-,Imation,"3/14/11",CA-2011-114510,84321,Imation 30456 USB Flash Drive 8GB,West,Consumer,"3/19/11",Standard Class,Utah,Accessories,"0%",1,US$7 ,"8%",12,US$83 ,"",7,"2011-14-03",83,7,"2011-14-03"
Furniture,Tampa,United States,Alan Shonely,Eldon,"3/15/11",CA-2011-149958,33614,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",South,Consumer,"3/19/11",Standard Class,Florida,Furnishings,"20%",1,US$5 ,"11%",3,US$46 ,"",5,"2011-15-03",46,5,"2011-15-03"
Office Supplies,Tampa,United States,Alan Shonely,GBC,"3/15/11",CA-2011-149958,33614,GBC VeloBinder Manual Binding System,South,Consumer,"3/19/11",Standard Class,Florida,Binders,"70%",1,(US$32),-73%,4,US$43 ,"",-32,"2011-15-03",43,-32,"2011-15-03"
Office Supplies,Tampa,United States,Alan Shonely,Other,"3/15/11",CA-2011-149958,33614,Insertable Tab Post Binder Dividers,South,Consumer,"3/19/11",Standard Class,Florida,Binders,"70%",1,(US$6),-77%,3,US$7 ,"",-6,"2011-15-03",7,-6,"2011-15-03"
Office Supplies,Tampa,United States,Alan Shonely,Xerox,"3/15/11",CA-2011-149958,33614,Xerox 1889,South,Consumer,"3/19/11",Standard Class,Florida,Paper,"20%",1,US$48 ,"36%",3,US$132 ,"",48,"2011-15-03",132,48,"2011-15-03"
Office Supplies,Tampa,United States,Alan Shonely,Other,"3/15/11",CA-2011-149958,33614,"Hot File 7-Pocket, Floor Stand",South,Consumer,"3/19/11",Standard Class,Florida,Storage,"20%",1,US$18 ,"13%",1,US$143 ,"",18,"2011-15-03",143,18,"2011-15-03"
Technology,Raleigh,United States,Kristina Nunn,Polycom,"3/16/11",CA-2011-157609,27604,Polycom VoiceStation 500 Conference phone,South,Home Office,"3/21/11",Second Class,North Carolina,Phones,"20%",1,US$29 ,"6%",2,US$472 ,"",29,"2011-16-03",472,29,"2011-16-03"
Office Supplies,Dallas,United States,Annie Zypern,Newell,"3/17/11",CA-2011-158442,75217,Newell 333,Central,Consumer,"3/17/11",Same Day,Texas,Art,"20%",1,US$0 ,"8%",2,US$4 ,"",0,"2011-17-03",4,0,"2011-17-03"
Office Supplies,Dallas,United States,Annie Zypern,Xerox,"3/17/11",CA-2011-158442,75217,Xerox 1966,Central,Consumer,"3/17/11",Same Day,Texas,Paper,"20%",1,US$2 ,"36%",1,US$5 ,"",2,"2011-17-03",5,2,"2011-17-03"
Office Supplies,Dallas,United States,Annie Zypern,Xerox,"3/17/11",CA-2011-158442,75217,Xerox 1967,Central,Consumer,"3/17/11",Same Day,Texas,Paper,"20%",1,US$5 ,"35%",3,US$16 ,"",5,"2011-17-03",16,5,"2011-17-03"
Office Supplies,Philadelphia,United States,Quincy Jones,Xerox,"3/17/11",CA-2011-127859,19134,Xerox 1909,East,Corporate,"3/20/11",Second Class,Pennsylvania,Paper,"20%",1,US$41 ,"33%",6,US$127 ,"",41,"2011-17-03",127,41,"2011-17-03"
Furniture,New York City,United States,Christine Phan,Balt,"3/17/11",US-2011-148838,10024,Balt Solid Wood Round Tables,East,Corporate,"3/21/11",Standard Class,New York,Tables,"40%",1,(US$554),-52%,4,"US$1,072 ","",-554,"2011-17-03",1,-554,"2011-17-03"
Furniture,New York City,United States,Christine Phan,Bretford,"3/17/11",US-2011-148838,10024,Bretford Rectangular Conference Table Tops,East,Corporate,"3/21/11",Standard Class,New York,Tables,"40%",1,(US$448),-28%,7,"US$1,580 ","",-448,"2011-17-03",1,-448,"2011-17-03"
Furniture,New York City,United States,Christine Phan,Hon,"3/17/11",US-2011-148838,10024,"Hon 30"" x 60"" Table with Locking Drawer",East,Corporate,"3/21/11",Standard Class,New York,Tables,"40%",1,(US$123),-20%,3,US$614 ,"",-123,"2011-17-03",614,-123,"2011-17-03"
Office Supplies,New York City,United States,Christine Phan,Xerox,"3/17/11",US-2011-148838,10024,Xerox 1918,East,Corporate,"3/21/11",Standard Class,New York,Paper,"0%",1,US$76 ,"49%",4,US$155 ,"",76,"2011-17-03",155,76,"2011-17-03"
Office Supplies,New York City,United States,Christine Phan,Xerox,"3/17/11",US-2011-148838,10024,Xerox 1926,East,Corporate,"3/21/11",Standard Class,New York,Paper,"0%",1,US$16 ,"47%",7,US$35 ,"",16,"2011-17-03",35,16,"2011-17-03"
Office Supplies,Jackson,United States,Mark Haberlin,Belkin,"3/17/11",US-2011-164763,39212,Belkin 6 Outlet Metallic Surge Strip,South,Corporate,"3/21/11",Standard Class,Mississippi,Appliances,"0%",1,US$8 ,"26%",3,US$33 ,"",8,"2011-17-03",33,8,"2011-17-03"
Office Supplies,Jackson,United States,Mark Haberlin,Acco,"3/17/11",US-2011-164763,39212,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",South,Corporate,"3/21/11",Standard Class,Mississippi,Binders,"0%",1,US$5 ,"47%",3,US$11 ,"",5,"2011-17-03",11,5,"2011-17-03"
Office Supplies,Jackson,United States,Mark Haberlin,GBC,"3/17/11",US-2011-164763,39212,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",South,Corporate,"3/21/11",Standard Class,Mississippi,Binders,"0%",1,US$15 ,"49%",2,US$30 ,"",15,"2011-17-03",30,15,"2011-17-03"
Office Supplies,Jackson,United States,Mark Haberlin,Other,"3/17/11",US-2011-164763,39212,EcoTones Memo Sheets,South,Corporate,"3/21/11",Standard Class,Mississippi,Paper,"0%",1,US$8 ,"48%",4,US$16 ,"",8,"2011-17-03",16,8,"2011-17-03"
Office Supplies,Jackson,United States,Mark Haberlin,Xerox,"3/17/11",US-2011-164763,39212,Xerox 1957,South,Corporate,"3/21/11",Standard Class,Mississippi,Paper,"0%",1,US$6 ,"49%",2,US$13 ,"",6,"2011-17-03",13,6,"2011-17-03"
Office Supplies,Lakeville,United States,Bradley Nguyen,Bionaire,"3/17/11",CA-2011-118339,55044,Bionaire Personal Warm Mist Humidifier/Vaporizer,Central,Consumer,"3/24/11",Standard Class,Minnesota,Appliances,"0%",1,US$37 ,"39%",2,US$94 ,"",37,"2011-17-03",94,37,"2011-17-03"
Office Supplies,Lakeville,United States,Bradley Nguyen,Newell,"3/17/11",CA-2011-118339,55044,Newell 35,Central,Consumer,"3/24/11",Standard Class,Minnesota,Art,"0%",1,US$6 ,"29%",6,US$20 ,"",6,"2011-17-03",20,6,"2011-17-03"
Office Supplies,Lakeville,United States,Bradley Nguyen,Avery,"3/17/11",CA-2011-118339,55044,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Central,Consumer,"3/24/11",Standard Class,Minnesota,Binders,"0%",1,US$17 ,"48%",6,US$36 ,"",17,"2011-17-03",36,17,"2011-17-03"
Office Supplies,Lakeville,United States,Bradley Nguyen,Wilson Jones,"3/17/11",CA-2011-118339,55044,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Consumer,"3/24/11",Standard Class,Minnesota,Binders,"0%",1,US$25 ,"47%",10,US$53 ,"",25,"2011-17-03",53,25,"2011-17-03"
Office Supplies,Lakeville,United States,Bradley Nguyen,Other,"3/17/11",CA-2011-118339,55044,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Central,Consumer,"3/24/11",Standard Class,Minnesota,Paper,"0%",1,US$24 ,"50%",7,US$47 ,"",24,"2011-17-03",47,24,"2011-17-03"
Furniture,San Francisco,United States,Eileen Kiefer,Bush,"3/18/11",CA-2011-111871,94110,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",West,Home Office,"3/21/11",Second Class,California,Bookcases,"15%",1,US$70 ,"6%",10,"US$1,198 ","",70,"2011-18-03",1,70,"2011-18-03"
Furniture,Jacksonville,United States,Sean Miller,Dana,"3/18/11",CA-2011-145317,32216,"Dana Fluorescent Magnifying Lamp, White, 36""",South,Home Office,"3/23/11",Standard Class,Florida,Furnishings,"20%",1,US$15 ,"13%",3,US$122 ,"",15,"2011-18-03",122,15,"2011-18-03"
Furniture,Jacksonville,United States,Sean Miller,Executive Impressions,"3/18/11",CA-2011-145317,32216,"Executive Impressions 13"" Clairmont Wall Clock",South,Home Office,"3/23/11",Standard Class,Florida,Furnishings,"20%",1,US$8 ,"26%",2,US$31 ,"",8,"2011-18-03",31,8,"2011-18-03"
Office Supplies,Jacksonville,United States,Sean Miller,Avery,"3/18/11",CA-2011-145317,32216,Avery Fluorescent Highlighter Four-Color Set,South,Home Office,"3/23/11",Standard Class,Florida,Art,"20%",1,US$1 ,"13%",3,US$8 ,"",1,"2011-18-03",8,1,"2011-18-03"
Office Supplies,Jacksonville,United States,Sean Miller,Other,"3/18/11",CA-2011-145317,32216,Staples,South,Home Office,"3/23/11",Standard Class,Florida,Fasteners,"20%",1,US$6 ,"31%",3,US$19 ,"",6,"2011-18-03",19,6,"2011-18-03"
Office Supplies,Jacksonville,United States,Sean Miller,Xerox,"3/18/11",CA-2011-145317,32216,Xerox 195,South,Home Office,"3/23/11",Standard Class,Florida,Paper,"20%",1,US$7 ,"35%",4,US$21 ,"",7,"2011-18-03",21,7,"2011-18-03"
Technology,Jacksonville,United States,Sean Miller,Cisco,"3/18/11",CA-2011-145317,32216,Cisco TelePresence System EX90 Videoconferencing Unit,South,Home Office,"3/23/11",Standard Class,Florida,Machines,"50%",1,"(US$1,811)",-8%,6,"US$22,638 ","",-1,"2011-18-03",22,-1,"2011-18-03"
Technology,Jacksonville,United States,Sean Miller,Hewlett-Packard,"3/18/11",CA-2011-145317,32216,Hewlett-Packard Deskjet 6540 Color Inkjet Printer,South,Home Office,"3/23/11",Standard Class,Florida,Machines,"50%",1,(US$16),-2%,4,US$821 ,"",-16,"2011-18-03",821,-16,"2011-18-03"
Furniture,Burbank,United States,Sample Company A,Eldon,"3/18/11",US-2011-131275,91505,Eldon Cleatmat Chair Mats for Medium Pile Carpets,West,Home Office,"3/24/11",Standard Class,California,Furnishings,"0%",1,US$14 ,"13%",2,US$111 ,"",14,"2011-18-03",111,14,"2011-18-03"
Office Supplies,Burbank,United States,Sample Company A,Tennsco,"3/18/11",US-2011-131275,91505,Tennsco 6- and 18-Compartment Lockers,West,Home Office,"3/24/11",Standard Class,California,Storage,"0%",1,US$334 ,"18%",7,"US$1,856 ","",334,"2011-18-03",1,334,"2011-18-03"
Technology,Burbank,United States,Sample Company A,Other,"3/18/11",US-2011-131275,91505,Swingline SM12-08 MicroCut Jam Free Shredder,West,Home Office,"3/24/11",Standard Class,California,Machines,"20%",1,US$416 ,"33%",4,"US$1,280 ","",416,"2011-18-03",1,416,"2011-18-03"
Furniture,Lakeland,United States,Matt Connell,Other,"3/19/11",CA-2011-103989,33801,Document Clip Frames,South,Corporate,"3/21/11",First Class,Florida,Furnishings,"20%",1,US$6 ,"28%",3,US$20 ,"",6,"2011-19-03",20,6,"2011-19-03"
Furniture,Lakeland,United States,Matt Connell,Eldon,"3/19/11",CA-2011-103989,33801,Eldon Wave Desk Accessories,South,Corporate,"3/21/11",First Class,Florida,Furnishings,"20%",1,US$1 ,"28%",3,US$5 ,"",1,"2011-19-03",5,1,"2011-19-03"
Office Supplies,Lakeland,United States,Matt Connell,Avery,"3/19/11",CA-2011-103989,33801,"Avery Flip-Chart Easel Binder, Black",South,Corporate,"3/21/11",First Class,Florida,Binders,"70%",1,(US$26),-77%,5,US$34 ,"",-26,"2011-19-03",34,-26,"2011-19-03"
Office Supplies,Lakeland,United States,Matt Connell,Avery,"3/19/11",CA-2011-103989,33801,Avery 501,South,Corporate,"3/21/11",First Class,Florida,Labels,"20%",1,US$4 ,"34%",4,US$12 ,"",4,"2011-19-03",12,4,"2011-19-03"
Office Supplies,Lakeland,United States,Matt Connell,Other,"3/19/11",CA-2011-103989,33801,Crate-A-Files,South,Corporate,"3/21/11",First Class,Florida,Storage,"20%",1,US$2 ,"7%",3,US$26 ,"",2,"2011-19-03",26,2,"2011-19-03"
Technology,Lakeland,United States,Matt Connell,Logitech,"3/19/11",CA-2011-103989,33801,"Logitech Wireless Boombox Speaker - portable - wireless, wired",South,Corporate,"3/21/11",First Class,Florida,Accessories,"20%",1,US$53 ,"31%",2,US$170 ,"",53,"2011-19-03",170,53,"2011-19-03"
Technology,Lakeland,United States,Matt Connell,Cisco,"3/19/11",CA-2011-103989,33801,Cisco 8x8 Inc. 6753i IP Business Phone System,South,Corporate,"3/21/11",First Class,Florida,Phones,"20%",1,US$28 ,"9%",3,US$324 ,"",28,"2011-19-03",324,28,"2011-19-03"
Furniture,Knoxville,United States,Gary McGarr,Global,"3/21/11",US-2011-155544,37918,Global Highback Leather Tilter in Burgundy,South,Consumer,"3/25/11",Standard Class,Tennessee,Chairs,"20%",1,(US$11),-5%,3,US$218 ,"",-11,"2011-21-03",218,-11,"2011-21-03"
Furniture,Knoxville,United States,Gary McGarr,DAX,"3/21/11",US-2011-155544,37918,DAX Wood Document Frame,South,Consumer,"3/25/11",Standard Class,Tennessee,Furnishings,"20%",1,US$7 ,"20%",3,US$33 ,"",7,"2011-21-03",33,7,"2011-21-03"
Office Supplies,Hamilton,United States,Cassandra Brandow,Binney & Smith,"3/21/11",CA-2011-140004,45011,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",East,Consumer,"3/25/11",Standard Class,Ohio,Art,"20%",1,US$1 ,"16%",2,US$7 ,"",1,"2011-21-03",7,1,"2011-21-03"
Office Supplies,Hamilton,United States,Cassandra Brandow,Binney & Smith,"3/21/11",CA-2011-140004,45011,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",East,Consumer,"3/25/11",Standard Class,Ohio,Art,"20%",1,US$2 ,"26%",3,US$6 ,"",2,"2011-21-03",6,2,"2011-21-03"
Office Supplies,Knoxville,United States,Gary McGarr,Avery,"3/21/11",US-2011-155544,37918,Avery 505,South,Consumer,"3/25/11",Standard Class,Tennessee,Labels,"20%",1,US$22 ,"38%",5,US$59 ,"",22,"2011-21-03",59,22,"2011-21-03"
Office Supplies,Springfield,United States,Kristen Hastings,Other,"3/21/11",CA-2011-163223,22153,American Pencil,South,Corporate,"3/25/11",Standard Class,Virginia,Art,"0%",1,US$3 ,"29%",4,US$9 ,"",3,"2011-21-03",9,3,"2011-21-03"
Office Supplies,Springfield,United States,Kristen Hastings,Wilson Jones,"3/21/11",CA-2011-163223,22153,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",South,Corporate,"3/25/11",Standard Class,Virginia,Binders,"0%",1,US$59 ,"48%",3,US$123 ,"",59,"2011-21-03",123,59,"2011-21-03"
Office Supplies,Springfield,United States,Kristen Hastings,Avery,"3/21/11",CA-2011-163223,22153,Avery 492,South,Corporate,"3/25/11",Standard Class,Virginia,Labels,"0%",1,US$7 ,"46%",5,US$14 ,"",7,"2011-21-03",14,7,"2011-21-03"
Office Supplies,Springfield,United States,Kristen Hastings,Xerox,"3/21/11",CA-2011-163223,22153,Xerox 1919,South,Corporate,"3/25/11",Standard Class,Virginia,Paper,"0%",1,US$60 ,"49%",3,US$123 ,"",60,"2011-21-03",123,60,"2011-21-03"
Office Supplies,Asheville,United States,Thomas Seio,Tennsco,"3/21/11",US-2011-107405,28806,Tennsco Commercial Shelving,South,Corporate,"3/25/11",Standard Class,North Carolina,Storage,"20%",1,(US$4),-24%,1,US$16 ,"",-4,"2011-21-03",16,-4,"2011-21-03"
Technology,Springfield,United States,Kristen Hastings,Samsung,"3/21/11",CA-2011-163223,22153,Samsung Galaxy S4 Active,South,Corporate,"3/25/11",Standard Class,Virginia,Phones,"0%",1,US$910 ,"26%",7,"US$3,500 ","",910,"2011-21-03",3,910,"2011-21-03"
Office Supplies,Portage,United States,Vivian Mathis,Avery,"3/22/11",US-2011-129609,46368,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Central,Consumer,"3/22/11",Same Day,Indiana,Art,"0%",1,US$7 ,"40%",2,US$16 ,"",7,"2011-22-03",16,7,"2011-22-03"
Furniture,Tucson,United States,Beth Fritzler,Office Star,"3/22/11",CA-2011-148040,85705,Office Star - Mesh Screen back chair with Vinyl seat,West,Corporate,"3/26/11",Standard Class,Arizona,Chairs,"20%",1,(US$35),-11%,3,US$314 ,"",-35,"2011-22-03",314,-35,"2011-22-03"
Office Supplies,Greensboro,United States,Craig Carroll,C-Line,"3/22/11",US-2011-158057,27405,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",South,Consumer,"3/26/11",Standard Class,North Carolina,Binders,"70%",1,(US$6),-77%,4,US$8 ,"",-6,"2011-22-03",8,-6,"2011-22-03"
Office Supplies,Greensboro,United States,Craig Carroll,GBC,"3/22/11",US-2011-158057,27405,GBC Prestige Therm-A-Bind Covers,South,Consumer,"3/26/11",Standard Class,North Carolina,Binders,"70%",1,(US$39),-77%,5,US$51 ,"",-39,"2011-22-03",51,-39,"2011-22-03"
Office Supplies,Tucson,United States,Beth Fritzler,Xerox,"3/22/11",CA-2011-148040,85705,Xerox 1951,West,Corporate,"3/26/11",Standard Class,Arizona,Paper,"20%",1,US$23 ,"31%",3,US$74 ,"",23,"2011-22-03",74,23,"2011-22-03"
Office Supplies,Delray Beach,United States,Bruce Geld,Avery,"3/23/11",CA-2011-164749,33445,Avery 476,South,Consumer,"3/26/11",First Class,Florida,Labels,"20%",1,US$3 ,"33%",3,US$10 ,"",3,"2011-23-03",10,3,"2011-23-03"
Office Supplies,Los Angeles,United States,Patrick O'Donnell,Other,"3/23/11",CA-2011-120838,90036,Economy Rollaway Files,West,Consumer,"3/26/11",Second Class,California,Storage,"0%",1,US$86 ,"26%",2,US$330 ,"",86,"2011-23-03",330,86,"2011-23-03"
Technology,Los Angeles,United States,Patrick O'Donnell,Other,"3/23/11",CA-2011-120838,90036,Ooma Telo VoIP Home Phone System,West,Consumer,"3/26/11",Second Class,California,Phones,"20%",1,US$38 ,"6%",6,US$605 ,"",38,"2011-23-03",605,38,"2011-23-03"
Office Supplies,New York City,United States,Carlos Daly,Xerox,"3/24/11",CA-2011-147235,10024,Xerox 190,East,Consumer,"3/28/11",Standard Class,New York,Paper,"0%",1,US$12 ,"47%",5,US$25 ,"",12,"2011-24-03",25,12,"2011-24-03"
Furniture,Fresno,United States,Maurice Satty,DAX,"3/24/11",CA-2011-143637,93727,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",West,Consumer,"3/29/11",Second Class,California,Furnishings,"0%",1,US$15 ,"36%",2,US$40 ,"",15,"2011-24-03",40,15,"2011-24-03"
Office Supplies,San Francisco,United States,Christina Anderson,BIC,"3/25/11",CA-2011-128237,94110,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",West,Consumer,"3/30/11",Standard Class,California,Art,"0%",1,US$10 ,"39%",6,US$25 ,"",10,"2011-25-03",25,10,"2011-25-03"
Office Supplies,San Francisco,United States,Christina Anderson,Other,"3/25/11",CA-2011-128237,94110,"Eberhard Faber 3 1/2"" Golf Pencils",West,Consumer,"3/30/11",Standard Class,California,Art,"0%",1,US$4 ,"25%",2,US$15 ,"",4,"2011-25-03",15,4,"2011-25-03"
Office Supplies,San Francisco,United States,Christina Anderson,Newell,"3/25/11",CA-2011-128237,94110,Newell 35,West,Consumer,"3/30/11",Standard Class,California,Art,"0%",1,US$2 ,"29%",2,US$7 ,"",2,"2011-25-03",7,2,"2011-25-03"
Technology,San Francisco,United States,Christina Anderson,Imation,"3/25/11",CA-2011-128237,94110,Imation Swivel Flash Drive USB flash drive - 8 GB,West,Consumer,"3/30/11",Standard Class,California,Accessories,"0%",1,US$16 ,"35%",4,US$45 ,"",16,"2011-25-03",45,16,"2011-25-03"
Furniture,New York City,United States,Annie Zypern,Iceberg,"3/25/11",CA-2011-148586,10009,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",East,Consumer,"4/1/11",Standard Class,New York,Chairs,"10%",1,US$65 ,"18%",7,US$367 ,"",65,"2011-25-03",367,65,"2011-25-03"
Office Supplies,Pomona,United States,Cindy Stewart,Smead,"3/26/11",CA-2011-100860,91767,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,West,Consumer,"3/30/11",Second Class,California,Labels,"0%",1,US$9 ,"48%",5,US$19 ,"",9,"2011-26-03",19,9,"2011-26-03"
Technology,Los Angeles,United States,Jonathan Doherty,SanDisk,"3/26/11",CA-2011-138436,90036,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,West,Corporate,"3/30/11",Standard Class,California,Accessories,"0%",1,US$9 ,"13%",3,US$66 ,"",9,"2011-26-03",66,9,"2011-26-03"
Office Supplies,San Francisco,United States,Damala Kotsonis,Newell,"3/26/11",CA-2011-141838,94122,Newell 308,West,Corporate,"3/31/11",Second Class,California,Art,"0%",1,US$1 ,"25%",2,US$3 ,"",1,"2011-26-03",3,1,"2011-26-03"
Office Supplies,San Francisco,United States,Damala Kotsonis,Wilson Jones,"3/26/11",CA-2011-141838,94122,Wilson Jones Leather-Like Binders with DublLock Round Rings,West,Corporate,"3/31/11",Second Class,California,Binders,"20%",1,US$9 ,"34%",4,US$28 ,"",9,"2011-26-03",28,9,"2011-26-03"
Technology,San Francisco,United States,Damala Kotsonis,Griffin,"3/26/11",CA-2011-141838,94122,Griffin GC17055 Auxiliary Audio Cable,West,Corporate,"3/31/11",Second Class,California,Phones,"20%",1,US$3 ,"10%",2,US$29 ,"",3,"2011-26-03",29,3,"2011-26-03"
Technology,Albuquerque,United States,Daniel Raglin,AT&T,"3/28/11",CA-2011-100881,87105,AT&T TR1909W,West,Home Office,"4/1/11",Standard Class,New Mexico,Phones,"20%",1,US$23 ,"8%",3,US$302 ,"",23,"2011-28-03",302,23,"2011-28-03"
Furniture,Des Moines,United States,Christina VanderZanden,Hon,"3/28/11",US-2011-137869,50315,Hon 94000 Series Round Tables,Central,Consumer,"4/2/11",Standard Class,Iowa,Tables,"0%",1,US$107 ,"9%",4,"US$1,185 ","",107,"2011-28-03",1,107,"2011-28-03"
Office Supplies,Des Moines,United States,Christina VanderZanden,Poly,"3/28/11",US-2011-137869,50315,Poly String Tie Envelopes,Central,Consumer,"4/2/11",Standard Class,Iowa,Envelopes,"0%",1,US$3 ,"47%",3,US$6 ,"",3,"2011-28-03",6,3,"2011-28-03"
Furniture,Springfield,United States,Mike Pelletier,Chromcraft,"3/28/11",US-2011-117380,45503,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,East,Home Office,"4/3/11",Standard Class,Ohio,Tables,"40%",1,(US$143),-43%,1,US$331 ,"",-143,"2011-28-03",331,-143,"2011-28-03"
Furniture,Plano,United States,Mike Gockenbach,Bush,"3/29/11",CA-2011-137274,75023,Bush Advantage Collection Racetrack Conference Table,Central,Consumer,"4/2/11",Standard Class,Texas,Tables,"30%",1,(US$153),-17%,3,US$891 ,"",-153,"2011-29-03",891,-153,"2011-29-03"
Office Supplies,New York City,United States,Susan Gilcrest,Sanford,"3/30/11",US-2011-105151,10009,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",East,Corporate,"3/31/11",First Class,New York,Art,"0%",1,US$3 ,"28%",5,US$11 ,"",3,"2011-30-03",11,3,"2011-30-03"
Furniture,Brownsville,United States,Mark Packer,Global,"3/30/11",CA-2011-162089,78521,"Global Stack Chair without Arms, Black",Central,Home Office,"4/1/11",First Class,Texas,Chairs,"30%",1,(US$9),-7%,7,US$127 ,"",-9,"2011-30-03",127,-9,"2011-30-03"
Office Supplies,Brownsville,United States,Mark Packer,Other,"3/30/11",CA-2011-162089,78521,Airmail Envelopes,Central,Home Office,"4/1/11",First Class,Texas,Envelopes,"20%",1,US$113 ,"34%",5,US$336 ,"",113,"2011-30-03",336,113,"2011-30-03"
Technology,Brownsville,United States,Mark Packer,Other,"3/30/11",CA-2011-162089,78521,Innergie mMini Combo Duo USB Travel Charging Kit,Central,Home Office,"4/1/11",First Class,Texas,Phones,"20%",1,US$88 ,"35%",7,US$252 ,"",88,"2011-30-03",252,88,"2011-30-03"
Office Supplies,Long Beach,United States,Kunst Miller,Other,"3/30/11",CA-2011-169033,11561,Peel-Off China Markers,East,Consumer,"4/3/11",Standard Class,New York,Art,"0%",1,US$21 ,"42%",5,US$50 ,"",21,"2011-30-03",50,21,"2011-30-03"
Furniture,San Francisco,United States,Guy Armstrong,O'Sullivan,"3/30/11",CA-2011-131247,94110,O'Sullivan Living Dimensions 2-Shelf Bookcases,West,Consumer,"4/4/11",Standard Class,California,Bookcases,"15%",1,(US$12),-6%,2,US$206 ,"",-12,"2011-30-03",206,-12,"2011-30-03"
Office Supplies,Seattle,United States,Dorris liebe,Avery,"3/30/11",CA-2011-133424,98105,Avery 490,West,Corporate,"4/4/11",Standard Class,Washington,Labels,"0%",1,US$22 ,"50%",3,US$44 ,"",22,"2011-30-03",44,22,"2011-30-03"
Office Supplies,Seattle,United States,Dorris liebe,Sterilite,"3/30/11",CA-2011-133424,98105,Sterilite Show Offs Storage Containers,West,Corporate,"4/4/11",Standard Class,Washington,Storage,"0%",1,US$0 ,"0%",3,US$16 ,"",0,"2011-30-03",16,0,"2011-30-03"
Office Supplies,Apple Valley,United States,Nat Carroll,Space Solutions,"3/30/11",US-2011-113124,55124,Space Solutions Commercial Steel Shelving,Central,Consumer,"4/5/11",Standard Class,Minnesota,Storage,"0%",1,US$6 ,"5%",2,US$129 ,"",6,"2011-30-03",129,6,"2011-30-03"
Furniture,Tampa,United States,Trudy Glocke,Global,"3/31/11",CA-2011-130428,33614,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",South,Consumer,"3/31/11",Same Day,Florida,Chairs,"20%",1,US$98 ,"9%",7,"US$1,125 ","",98,"2011-31-03",1,98,"2011-31-03"
Office Supplies,Philadelphia,United States,Jas O'Carroll,Avery,"3/31/11",CA-2011-112403,19120,Avery Round Ring Poly Binders,East,Consumer,"3/31/11",Same Day,Pennsylvania,Binders,"70%",1,(US$1),-70%,1,US$1 ,"",-1,"2011-31-03",1,-1,"2011-31-03"
